swr,theta,r0,x0,r1,x1,region,parallel,series,Region G 1,Region T 1,Region G -1,Region T -1,Region G 2,Region T 2,Region G -2,Region T -2,Region G 5,Region T 5,Region G -5,Region T -5,Region G 10,Region T 10,Region G -1,Region T -1,Region G 15,Region T 15,Region G -15,Region T -15,Region G 20,Region T 20,Region G -20,Region T -20,Region G 25,Region T 25,Region G -25,Region T -25,
1.5,0,1.50,0.00,1.00,-0.71,1,-2.12,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,1,1.50,0.01,1.00,-0.71,1,-2.11,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,2,1.50,0.02,1.00,-0.71,1,-2.09,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,3,1.50,0.02,1.00,-0.71,1,-2.07,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,4,1.50,0.03,1.00,-0.71,1,-2.06,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,5,1.50,0.04,1.00,-0.71,1,-2.04,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,6,1.50,0.05,1.00,-0.71,1,-2.03,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,7,1.50,0.06,1.00,-0.71,1,-2.01,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,8,1.49,0.07,1.00,-0.71,1,-2.00,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,9,1.49,0.07,1.00,-0.71,1,-1.99,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,10,1.49,0.08,1.00,-0.70,1,-1.97,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,11,1.49,0.09,1.00,-0.70,1,-1.96,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,12,1.49,0.10,1.00,-0.70,1,-1.94,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,13,1.49,0.10,1.00,-0.70,1,-1.93,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,14,1.48,0.11,1.00,-0.70,1,-1.92,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,15,1.48,0.12,1.00,-0.70,1,-1.91,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,16,1.48,0.13,1.00,-0.70,1,-1.89,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,17,1.48,0.14,1.00,-0.70,1,-1.88,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,18,1.47,0.14,1.00,-0.70,1,-1.87,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,19,1.47,0.15,1.00,-0.70,1,-1.86,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,20,1.47,0.16,1.00,-0.70,1,-1.85,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,21,1.47,0.17,1.00,-0.70,1,-1.83,0.70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,22,1.46,0.17,1.00,-0.69,1,-1.82,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,23,1.46,0.18,1.00,-0.69,1,-1.81,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,24,1.46,0.19,1.00,-0.69,1,-1.80,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,25,1.45,0.19,1.00,-0.69,1,-1.79,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,26,1.45,0.20,1.00,-0.69,1,-1.78,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,27,1.44,0.21,1.00,-0.69,1,-1.77,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,28,1.44,0.22,1.00,-0.69,1,-1.76,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,29,1.44,0.22,1.00,-0.69,1,-1.75,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,30,1.43,0.23,1.00,-0.68,1,-1.74,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,31,1.43,0.23,1.00,-0.68,1,-1.73,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,32,1.42,0.24,1.00,-0.68,1,-1.72,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,33,1.42,0.25,1.00,-0.68,1,-1.71,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,34,1.41,0.25,1.00,-0.68,1,-1.70,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,35,1.41,0.26,1.00,-0.68,1,-1.69,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,36,1.40,0.27,1.00,-0.67,1,-1.68,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,37,1.40,0.27,1.00,-0.67,1,-1.68,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,38,1.39,0.28,1.00,-0.67,1,-1.67,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,39,1.39,0.28,1.00,-0.67,1,-1.66,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,40,1.38,0.29,1.00,-0.67,1,-1.65,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,41,1.38,0.29,1.00,-0.66,1,-1.64,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,42,1.37,0.30,1.00,-0.66,1,-1.63,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,43,1.37,0.30,1.00,-0.66,1,-1.63,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,44,1.36,0.31,1.00,-0.66,1,-1.62,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,45,1.36,0.31,1.00,-0.66,1,-1.61,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,46,1.35,0.32,1.00,-0.65,1,-1.60,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,47,1.35,0.32,1.00,-0.65,1,-1.60,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,48,1.34,0.33,1.00,-0.65,1,-1.59,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,49,1.33,0.33,1.00,-0.65,1,-1.58,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,50,1.33,0.34,1.00,-0.64,1,-1.58,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,51,1.32,0.34,1.00,-0.64,1,-1.57,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,52,1.32,0.35,1.00,-0.64,1,-1.56,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,53,1.31,0.35,1.00,-0.64,1,-1.56,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,54,1.30,0.35,1.00,-0.63,1,-1.55,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,55,1.30,0.36,1.00,-0.63,1,-1.54,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,56,1.29,0.36,1.00,-0.63,1,-1.54,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,57,1.29,0.36,1.00,-0.62,1,-1.53,0.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,58,1.28,0.37,1.00,-0.62,1,-1.53,0.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,59,1.27,0.37,1.00,-0.62,1,-1.52,0.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,60,1.27,0.37,1.00,-0.61,1,-1.52,0.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,61,1.26,0.38,1.00,-0.61,1,-1.51,0.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,62,1.26,0.38,1.00,-0.61,1,-1.50,0.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,63,1.25,0.38,1.00,-0.61,1,-1.50,0.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,64,1.24,0.38,1.00,-0.60,1,-1.49,0.60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,65,1.24,0.39,1.00,-0.60,1,-1.49,0.60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,66,1.23,0.39,1.00,-0.59,1,-1.48,0.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,67,1.22,0.39,1.00,-0.59,1,-1.48,0.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,68,1.22,0.39,1.00,-0.59,1,-1.48,0.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,69,1.21,0.40,1.00,-0.58,1,-1.47,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,70,1.21,0.40,1.00,-0.58,1,-1.47,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,71,1.20,0.40,1.00,-0.58,1,-1.46,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,72,1.19,0.40,1.00,-0.57,1,-1.46,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,73,1.19,0.40,1.00,-0.57,1,-1.46,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,74,1.18,0.41,1.00,-0.57,1,-1.45,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,75,1.17,0.41,1.00,-0.56,1,-1.45,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,76,1.17,0.41,1.00,-0.56,1,-1.45,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,77,1.16,0.41,1.00,-0.55,1,-1.44,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,78,1.16,0.41,1.00,-0.55,1,-1.44,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,79,1.15,0.41,1.00,-0.54,1,-1.44,0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,80,1.14,0.41,1.00,-0.54,1,-1.43,0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,81,1.14,0.41,1.00,-0.54,1,-1.43,0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1.5,82,1.13,0.41,1.00,-0.53,1,-1.43,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,
1.5,83,1.12,0.41,1.00,-0.53,1,-1.43,0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,
1.5,84,1.12,0.42,1.00,-0.52,1,-1.42,0.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,
1.5,85,1.11,0.42,1.00,-0.52,1,-1.42,0.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,
1.5,86,1.11,0.42,1.00,-0.51,1,-1.42,0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,
1.5,87,1.10,0.42,1.00,-0.51,1,-1.42,0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,
1.5,88,1.09,0.42,1.00,-0.50,1,-1.42,0.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,
1.5,89,1.09,0.42,1.00,-0.50,1,-1.42,0.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,90,1.08,0.42,1.00,-0.49,1,-1.42,0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,91,1.08,0.42,1.00,-0.49,1,-1.42,0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,92,1.07,0.42,1.00,-0.48,1,-1.41,0.48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,93,1.06,0.42,1.00,-0.48,1,-1.41,0.48,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,94,1.06,0.42,1.00,-0.47,1,-1.41,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,95,1.05,0.42,1.00,-0.47,1,-1.41,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
1.5,96,1.05,0.42,1.00,-0.46,1,-1.41,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,
